block,braking_condition,crossing_time,ehmi_time,has_ehmi,is_braking,orig_speed,speed,start_time,subj_safety,subject,time_gap,trial
A,0,,,False,False,35,15.645954403218596,726.569812865497,0,11,3,38
A,1,,,False,False,30,13.410818059901654,738.2476081081081,0,11,3,39
A,2,0.27743442622954717,,False,True,25,11.17568171658471,750.9785655737705,4,11,4,40
A,2,5.326434426229525,,False,True,25,11.17568171658471,771.5265655737705,2,11,3,41
A,3,0.2004344262294353,0.574434426229459,False,True,25,11.17568171658471,799.0265655737705,3,11,4,42
A,3,5.491187134502866,0.5631871345028685,False,True,35,15.645954403218596,817.6058128654971,2,11,3,43
A,1,0.4424344262295108,,False,False,25,11.17568171658471,844.8415655737705,3,11,5,44
A,3,4.549391891891673,7.706391891891826,False,True,30,13.410818059901654,863.7246081081082,3,11,2,45
A,0,0.5563918918917352,,False,False,30,13.410818059901654,888.8376081081082,1,11,4,46
A,2,4.351391891891922,,False,True,30,13.410818059901654,907.207608108108,1,11,3,47
B,0,,,False,False,35,15.645954403218596,61.37781286549708,0,11,3,0
B,1,-0.019565573770492506,,False,False,25,11.17568171658471,74.86356557377049,2,11,4,1
B,2,4.0281871345029145,,False,True,35,15.645954403218596,92.41981286549708,2,11,2,2
B,2,3.5114344262295276,,False,True,25,11.17568171658471,117.78556557377048,3,11,2,3
B,3,4.538391891891877,-0.8516081081081097,False,True,30,13.410818059901654,141.1016081081081,2,11,2,4
B,1,,,False,False,30,13.410818059901654,166.1376081081081,0,11,2,5
B,1,,,False,False,35,15.645954403218596,175.57981286549708,0,11,2,6
B,2,0.16718713450293876,,False,True,35,15.645954403218596,184.89681286549708,1,11,3,7
B,0,0.596187134502884,,False,False,35,15.645954403218596,202.0348128654971,3,11,4,8
B,3,5.920187134502925,0.5521871345029297,False,True,35,15.645954403218596,220.69081286549707,3,11,3,9
B,2,7.262434426229504,,False,True,25,11.17568171658471,248.74056557377048,4,11,5,10
B,2,3.8123918918918775,,False,True,30,13.410818059901654,276.1926081081081,3,11,2,11
B,1,,,False,False,35,15.645954403218596,299.8028128654971,0,11,3,12
B,1,0.596187134502884,,False,False,35,15.645954403218596,310.5498128654971,4,11,5,13
B,3,0.31439189189183026,1.1283918918918516,False,True,30,13.410818059901654,330.42260810810814,4,11,4,14
B,1,0.31018713450293944,,False,False,35,15.645954403218596,348.1478128654971,4,11,4,15
B,3,0.6291871345029563,2.5321871345029763,False,True,35,15.645954403218596,364.77981286549704,4,11,5,16
B,0,0.23739189189194576,,False,False,30,13.410818059901654,384.2016081081081,3,11,4,17
B,0,,,False,False,25,11.17568171658471,404.0055655737705,0,11,3,18
B,3,0.44218713450294445,1.5311871345028862,False,True,35,15.645954403218596,414.5658128654971,3,11,4,19
B,3,4.171434426229496,-0.44856557377050876,False,True,25,11.17568171658471,435.0475655737705,2,11,3,20
B,2,0.2153918918919544,,False,True,30,13.410818059901654,459.19960810810807,4,11,5,21
B,2,0.2153918918919544,,False,True,30,13.410818059901654,479.2086081081081,2,11,4,22
B,0,,,False,False,35,15.645954403218596,496.39481286549704,0,11,2,23
B,3,2.4004344262295376,-1.4495655737704851,False,True,25,11.17568171658471,507.9775655737705,3,11,2,24
B,0,0.21143442622951625,,False,False,25,11.17568171658471,532.3095655737704,4,11,5,25
B,1,,,False,False,25,11.17568171658471,552.8465655737706,0,11,5,26
B,3,-0.03056557377055924,1.5864344262295162,False,True,25,11.17568171658471,568.2575655737705,3,11,5,27
B,1,,,False,False,30,13.410818059901654,595.0386081081081,0,11,3,28
B,0,,,False,False,30,13.410818059901654,606.4566081081082,0,11,2,29
B,3,4.3801871345029895,-0.4488128654970751,False,True,35,15.645954403218596,615.502812865497,3,11,2,30
B,2,0.4201871345029531,,False,True,35,15.645954403218596,639.0978128654971,2,11,4,31
B,0,0.24839189189196986,,False,False,30,13.410818059901654,657.5846081081081,4,11,5,32
B,0,,,False,False,25,11.17568171658471,677.9495655737705,0,11,2,33
B,1,0.23739189189188892,,False,False,30,13.410818059901654,689.1106081081082,2,11,4,34
B,0,0.16743442622953353,,False,False,25,11.17568171658471,709.3985655737705,2,11,4,35
B,2,4.604391891891851,,False,True,30,13.410818059901654,727.3906081081082,2,11,3,36
B,3,0.18943442622958173,0.5524344262295244,False,True,25,11.17568171658471,754.1355655737705,3,11,4,37
B,2,0.09043442622942166,,False,True,25,11.17568171658471,775.0795655737705,4,11,4,38
B,0,0.49718713450295127,,False,False,35,15.645954403218596,793.7908128654971,4,11,5,39
B,0,,,False,False,30,13.410818059901654,812.6516081081081,0,11,3,40
B,3,0.32539189189185436,0.12739189189187528,False,True,30,13.410818059901654,824.3336081081081,2,11,3,41
B,1,0.2153918918919544,,False,False,30,13.410818059901654,843.7926081081081,3,11,5,42
B,2,4.952434426229615,,False,True,25,11.17568171658471,864.4105655737704,3,11,3,43
B,3,0.38039189189180433,2.1183918918918607,False,True,30,13.410818059901654,889.1566081081081,4,11,5,44
C,1,,,False,False,35,15.645954403218596,60.915812865497074,0,11,3,0
C,0,0.36518713450293205,,False,False,35,15.645954403218596,71.55281286549707,3,11,4,1
C,3,4.2044344262295255,-1.4385655737704894,False,True,25,11.17568171658471,91.07756557377049,4,11,2,2
C,2,0.14543442622951375,,False,True,25,11.17568171658471,118.2255655737705,4,11,5,3
C,1,0.35418713450292216,,False,False,35,15.645954403218596,136.26581286549708,3,11,5,4
C,0,,,False,False,35,15.645954403218596,154.0198128654971,0,11,2,5
C,2,0.22639189189189324,,False,True,30,13.410818059901654,164.4216081081081,3,11,4,6
C,3,0.1823918918918821,2.1403918918918805,False,True,30,13.410818059901654,183.68260810810813,4,11,5,7
C,0,0.06843442622951557,,False,False,25,11.17568171658471,204.2235655737705,3,11,4,8
C,1,,,False,False,25,11.17568171658471,224.2215655737705,0,11,2,9
C,2,3.9621871345029263,,False,True,35,15.645954403218596,233.47281286549708,4,11,2,10
C,2,0.24839189189191302,,False,True,30,13.410818059901654,258.1636081081081,4,11,5,11
C,0,,,False,False,30,13.410818059901654,277.0506081081081,0,11,3,12
C,1,0.21118713450289306,,False,False,35,15.645954403218596,287.11981286549707,2,11,4,13
C,3,4.758391891891904,-0.8516081081081097,False,True,30,13.410818059901654,305.3976081081081,2,11,2,14
C,1,0.3764344262295367,,False,False,25,11.17568171658471,333.5065655737705,3,11,5,15
C,3,4.974434426229493,-0.43756557377048466,False,True,25,11.17568171658471,359.0815655737705,2,11,3,16
C,3,4.512187134502938,-0.4488128654970751,False,True,35,15.645954403218596,382.7868128654971,3,11,2,17
C,0,0.5741871345028358,,False,False,35,15.645954403218596,405.99681286549713,4,11,5,18
C,3,0.35443442622954535,1.5314344262295663,False,True,25,11.17568171658471,427.42456557377045,4,11,5,19
C,2,0.5631871345029253,,False,True,35,15.645954403218596,446.0368128654971,4,11,5,20
C,2,4.677434426229468,,False,True,25,11.17568171658471,467.6625655737705,3,11,2,21
C,2,5.634187134502895,,False,True,35,15.645954403218596,492.0058128654971,2,11,3,22
C,3,0.2923918918919526,1.1283918918919653,False,True,30,13.410818059901654,518.500608108108,3,11,4,23
C,0,,,False,False,25,11.17568171658471,538.5025655737705,0,11,5,24
C,1,,,False,False,35,15.645954403218596,550.921812865497,0,11,2,25
C,1,0.18239189189193894,,False,False,30,13.410818059901654,561.1476081081081,1,11,3,26
